ticket_id,aangemaakt_op,kanaal,wachtrij,prioriteit,locatie,onderwerp,omschrijving,systeemmelding,interne_notitie
INC-4264,06/08/2026,portaal,Appsupport,normaal,Antwerpen,Slecht geluid tijdens Teams-vergaderingen,"Deelnemers horen mij met veel ruis en kraken tijdens vergaderingen. Op de ingebouwde microfoon van de laptop klinkt het wel goed, met de headset niet. Diezelfde headset kraakt ook bij het afspelen van een filmpje en op de laptop van mijn collega. De kabel bij de aansluiting voelt los.",,"Headset vervangen uit voorraad, melder tevreden."
INC-4265 ,31/07/2026,portaal,Servicedesk,laag,Kortrijk,PDF-editor installeren,Voor het samenvoegen en ondertekenen van documenten heb ik een PDF-editor nodig. In het softwareportaal zie ik hem staan maar de installatie stopt op 40 procent met een foutcode. Mijn collega heeft hetzelfde pakket wel succesvol geïnstalleerd.,"Installatiepakket kon niet worden uitgepakt, error 1603.",
INC-4267,03/08/2026 10:40,e-mail,Netwerkteam,hoog,Gent,Netwerkprobleem op afdeling inkoop,"Ik stuur dit naar netwerk omdat ik denk dat het daar zit. De multifunctional bij inkoop staat als offline in de wachtrij en niemand kan er nog naartoe printen. Internet, mail en de netwerkschijven werken bij iedereen gewoon, alleen dit ene apparaat doet niets. Het display van het apparaat toont een foutmelding over de fuser. Systeemmelding: Apparaat MFP-INK-01 reageert niet op printopdrachten.",,
INC-4269,06/08/2026 08:16,e-mail,Printerdesk,hoch, Brussel,Drucker im dritten Stock druckt nicht,"Der Drucker im dritten Stock nimmt keine Aufträge mehr an. Auf dem Display erscheint eine Meldung über die Fixiereinheit. Neustart des Gerätes und Löschen der Warteschlange haben nichts gebracht. Kollegen haben das gleiche Problem.

Mit freundlichen Grüßen
Klaus Müller
Vertriebsleiter",Fuser unit error 50.2.,
INC-4270,2026-07-30 09:03,e-mail,Appsupport,hoog,Gent,Excel crasht bij openen van grote bestanden,Sinds de nieuwe antivirusclient vanochtend is uitgerold crasht Excel zodra ik een groot werkblad open. Er verschijnt alleen een foutvenster zonder tekst. Een uitsluiting voor Excel in de antivirus heeft niets opgelost en het gebeurt ook op een tweede werkplek in ons team.,"Excel.exe beëindigd, module vbe7.dll.",
INC-4271,2026-07-30 07:45,e-mail,Netwerkteam,Hoog, thuis,Kan geen VPN-verbinding maken,"De VPN-client start op, maar na het invoeren van mijn gegevens verschijnt de melding Verbinding mislukt. Woensdag werkte het nog. Ik heb thuis en via mijn mobiele hotspot getest, in beide gevallen dezelfde fout. Mijn wachtwoord is geldig, want ik kom wel in de webmail.","Gateway timeout, geen antwoord van vpn-gw-02.",
INC-4273,2026-08-03 09:14,portaal,Hardwaredesk,Normaal,Antwerpen,  Dockingstation geeft geen beeld op tweede monitor ,"Sinds maandag krijg ik maar op één van mijn twee monitoren beeld als de laptop in het dock zit. Rechtstreeks op de laptop aangesloten werken beide schermen wel. Ik heb kabels omgewisseld, een ander dock geprobeerd en de beeldscherminstellingen doorlopen. Systeemmelding: DisplayLink-adapter meldt een verbroken verbinding.  ",,
INC-4274 ,15/08/2026 11:17,portaal,Hardwaredesk,laag,Antwerpen,Verhuizing werkplek naar tweede verdieping,"Ons team verhuist volgende maand naar de tweede verdieping. We hebben daar acht werkplekken nodig met een bureau, een stoel en voldoende stopcontacten. Kunnen jullie aangeven bij wie ik dit moet aanvragen en wat de doorlooptijd is?",,
INC-4276,2026-08-10 08:05,Mail,hardware,Normaal,Hasselt,Tweede scherm wordt niet meer herkend na firmware-update dock,"Na de firmware-update van het dockingstation wordt mijn tweede scherm niet meer herkend. Het scherm zelf doet het op een andere werkplek en de kabel is getest. In beeldscherminstellingen verschijnt maar één monitor.

Met vriendelijke groeten,
Els Willems
Boekhouder
Financiën | Hasselt

-- 
Dit bericht en eventuele bijlagen zijn vertrouwelijk en uitsluitend bestemd voor de geadresseerde. Indien u dit bericht per vergissing heeft ontvangen, gelieve de afzender te verwittigen en het bericht te verwijderen. Denk aan het milieu voor u dit bericht afdrukt.",USB-C alt mode niet onderhandeld.,
INC-4279,2026-08-03 08:00,chat,,,,werkt niet,het werkt niet,,
INC-4282,12/08/2026 16:55,Telefoon,Servicedesk,urgent!!!,Antwerpen,Geen beeld op scherm in vergaderruimte Noord,Het grote scherm in vergaderruimte Noord geeft geen beeld meer als je een laptop aansluit. We hebben twee laptops en twee HDMI-kabels geprobeerd en het scherm staat aan met de juiste bron geselecteerd. Draadloos presenteren doet het ook niet. De volgende klantpresentatie is morgenochtend.,,Facilitair meldt dat de HDMI-switcher in de kast losgekoppeld was tijdens de schoonmaak.
INC-4284,11/08/2026 08:01,telefoon,Appsupport,P1,Antwerpen,Webshoporders komen niet binnen in ERP,"Sinds vannacht komen er geen webshoporders meer binnen in het ERP. In de webshop staan de orders wel netjes met status betaald. De koppeling geeft geen zichtbare foutmelding in het scherm, maar in het logbestand staan afgekeurde berichten. Dit raakt de hele orderverwerking. Systeemmelding: API-endpoint /orders geeft HTTP 401 sinds 01:12.",,API-sleutel van de koppeling verlopen op 11/08; leverancier levert nieuwe sleutel.
INC-4286,2026-08-18 10:02,portaal,Appsupport,normaal,Gent,Videovergaderingen haperen constant,"In vergaderingen bevriest mijn beeld en valt mijn geluid weg, ongeveer elke minuut. Dit gebeurt zowel thuis als op kantoor en ook als ik de enige deelnemer ben. Andere programma's reageren normaal, maar een snelheidstest laat groot pakketverlies zien richting het bedrijfsnetwerk. Collega's op andere locaties hebben dit niet.",Gemiddeld pakketverlies 11 procent richting mediarelay.,
INC-4241,2026-08-05T15:40:12,E-mail,Servicedesk,P2, Brussel,Laptop battery does not charge,"My laptop battery stays at 4 percent and the charging indicator does not light up. I tried two different power adapters and a different wall socket. The laptop only works while connected to the dock.

Kind regards,
Sofie Maes
HR-adviseur",Battery health reported as: replace soon.,
INC-4288,05/08/2026 14:02,e-mail,Netwerkteam,laag,Gent,Monitor flikkert,"Categorie: Netwerk

Mijn monitor flikkert en gaat er daarna helemaal uit, inmiddels elke tien tot vijftien minuten. Ik heb de kabel vervangen, een andere poort gebruikt en de monitor op een andere laptop getest, waar hij hetzelfde deed. Ik heb hierboven zelf alvast een categorie ingevuld, hopelijk helpt dat.",Signal integrity warning op displaypoort.,Melder heeft zelf categorie Netwerk gekozen.
INC-4290,2026-07-28 13:20,telefoon,Printerdesk,normaal,Antwerpen,Printer tweede verdieping print lege pagina's,"De printer op de tweede verdieping voert het papier netjes door maar levert witte vellen af. Het begon na het wisselen van de toner. We hebben de printer herstart, de wachtrij geleegd en een testpagina vanaf het apparaat zelf geprint, ook die is leeg.","Tonerniveau kritisch, drukkop mogelijk niet geplaatst.",
INC-4295,2026-08-14 13:33,portaal,Servicedesk,laag,Antwerpen,USB-stick gevonden op de parking,Ik vond een USB-stick op de parking en heb hem in mijn werklaptop gestoken om te kijken van wie hij was. Er opende zich meteen een venster dat weer verdween. Ik heb de stick er inmiddels uitgehaald. Moet ik iets doen?,Uitvoering geblokkeerd van autorun.inf op verwisselbaar medium.,
INC-4297,2026-08-03 14:27,portaal,servicedesk,normaal,Brussel,Cannot open shared drive,"I cannot open the shared department folder anymore. Windows says permission denied although my colleague with the same role can open it. I changed teams last month, maybe my group membership was not updated.

Kind regards,
An Peeters
Medewerker inkoop",Access is denied for \\fileserver01\afdeling_inkoop.,
INC-4299,2026-07-30 11:24,e-mail,Security,normaal,Antwerpen,Verdachte mail met factuurlink ontvangen,"Ik kreeg een mail die eruitziet als een factuur van een leverancier, maar het afzenderadres wijkt af en de link verwijst naar een domein dat ik niet ken. Ik heb niet geklikt en niets ingevuld. Kunnen jullie beoordelen of dit gemeld moet worden en of collega's dezelfde mail hebben gekregen?",Spamfilter heeft bericht gelabeld als mogelijk phishing.,
INC-4300,2026-08-21 13:37,telefoon,,,?,kan niet inloggen op portal,Ik kan niet inloggen op de portal. Mijn wachtwoord is Zomer2026! en dat klopt zeker want ik heb het opgeschreven. Kunnen jullie het even resetten naar hetzelfde wachtwoord zodat ik het niet moet onthouden? Bel gerust op 0470 12 34 56.,,
INC-4303,2026-08-20 08:12,E-mail,Hardwaredesk,hoog ,Brussel,Laptop extremely slow since this morning,"Since this morning my laptop is almost unusable. Task Manager shows the disk at 100% for 'Antimalware Service Executable' for over an hour now. Nothing was installed by me; a restart did not help. The laptop is a year old.

Kind regards,
Jan Vermeulen
Controller",,
INC-4304,14/08/2026 08:35,telefoon,Netwerkteam,hoog,Brussel,Gastennetwerk werkt niet meer,"Bezoekers kunnen sinds vanochtend niet meer op het gastennetwerk. Ze zien het netwerk wel en kunnen verbinden, maar de aanmeldpagina met de voucher verschijnt niet. Het reguliere personeelsnetwerk werkt gewoon. We hebben vandaag drie klantafspraken.",Captive portal onbereikbaar.,
INC-4305,2026-08-06 13:15,portaal,Appsupport,normaal,Antwerpen,Teams herkent mijn microfoon niet meer,Na de update van gisteren staat mijn headset niet meer in de apparatenlijst van Teams. In de Windows-geluidsinstellingen en in andere programma's werkt dezelfde headset wel gewoon. Opnieuw opstarten en de client herinstalleren hebben niet geholpen.,Teams audio device enumeration failed.,
INC-4308,22/08/2026 09:36,portaal,Appsupport,normaal,Kortrijk,Bedrijfsapp niet te installeren op telefoon,"De bedrijfsapp voor urenregistratie verschijnt wel in het bedrijfsportaal op mijn zakelijke telefoon, maar de installatie blijft hangen op wachten. Andere apps uit hetzelfde portaal installeren wel. Op de laptop kan ik de webversie gewoon gebruiken.","App install pending, device compliance status onbekend.",Wacht op MDM-team.
INC-4309,2026-08-21 09:31,portaal,Netwerkteam,P1,Gent,Bevestigde storing bij de internetprovider,"De provider bevestigt een storing op de zakelijke glasvezelverbinding van locatie Gent. Sinds 09:14 is er geen verkeer meer over de primaire lijn en is de back-uplijn actief, waardoor de capaciteit beperkt is. Verwachte hersteltijd is einde middag. Graag communicatie richting de gebruikers.","Primary WAN link down, failover actief.",
INC-4311,26/08/2026 11:58,chat,,,antwerpen,printer 1e verdiep,printer 1e verdiep doet het WEER niet 😤 al de 3e keer deze week. staat op 'offline' in de lijst maar het lampje brandt gewoon groen en de andere printers doen het wel. kan iemand daar eens definitief naar kijken aub,,
INC-4316,19/08/2026 16:40,e-mail,Netwerkteam,laag,Thuiswerk,Werken via VPN is erg traag,"Met de VPN aan is alles traag: bestanden openen, de ERP en zelfs webpagina's die niets met werk te maken hebben. Zonder VPN is mijn internet thuis gewoon snel. Het is vooral tussen 13:00 en 16:00 slecht. Ik heb een glasvezelaansluiting van 500 Mbit.",Concurrent sessions op vpn-gw-01 boven 90 procent van de licentielimiet.,
INC-4318,03/08/2026 11:26,e-mail,Appsupport,normaal,Gent,CRM-rapport telt omzet dubbel,"In het maandrapport in het CRM staan de bedragen van klanten met meerdere contactpersonen twee keer geteld. De onderliggende records kloppen wel, dus het lijkt in de rapportdefinitie te zitten. Sinds de release van vorige week zien we dit. Kunnen jullie de logica van het rapport nakijken? Er is geen foutmelding.",,
INC-4320,2026-08-12 09:31,e-mail,Servicedesk,,Kortrijk,RE: RE: FW: kwestie,"Zie mijn vorige mail en het gesprek van gisteren, het speelt nog steeds. Graag oppakken.

> Van: Servicedesk
> Onderwerp: RE: FW: kwestie
> Dag, kan je wat meer details bezorgen?
>
>> Van: J.K.
>> Onderwerp: FW: kwestie
>> zie onder",,Onduidelijk waarover dit gaat; melder om context gevraagd.
INC-4321,2026-08-07 11:11,e-mail,Netwerkteam,normaal ,Antwerpen,"Verbinding valt weg in vergaderruimte ""De Schelde""","In vergaderruimte ""De Schelde"" valt de bekabelde verbinding steeds weg; soms na twee minuten, soms na een half uur.
De laptop meldt dan dat de kabel is losgekoppeld, terwijl die gewoon vastzit.
We hebben de patchkabel vervangen, een tweede laptop getest en een ander wandcontact gebruikt; steeds hetzelfde beeld.",Interface flap detected op switchport 1/24; link state change x14.,
INC-4324,12/08/2026 14:30,e-mail,Servicedesk,normaal,Kortrijk,Printerdriver installeert niet op nieuwe laptop,Op mijn nieuwe laptop kan ik de multifunctional van de afdeling niet toevoegen. De driver wordt gedownload maar de installatie eindigt met een foutmelding en het apparaat verschijnt niet in de lijst. Op mijn oude laptop werkte dezelfde printer prima en collega's kunnen er wel naartoe printen.,"Kan geen verbinding maken met printer, driver niet ondertekend.","Gebeld, geen gehoor. Tweede poging morgen."
INC-4325,2026-08-04 08:20,telefoon,Printerdesk,hoog,Antwerpen,Printer werkt niet,"Ik kan niet printen. Overigens werkt ook mijn mail niet, kan ik niet bij de netwerkschijf en heeft mijn buurman precies hetzelfde. Volgens de conciÃ«rge is er vanmorgen gewerkt in de meterkast op onze verdieping. De printer zelf toont geen enkele fout op het display. Systeemmelding: Switch SW-3F-02 onbereikbaar, meerdere poorten down.",,Netwerkteam gecontacteerd; switch SW-3F-02 hersteld om 11:40. Melder bevestigt dat printen weer werkt.
INC-4328,2026-08-12 15:05,e-mail,Servicedesk,normaal,Kortrijk,Netwerkschijf reageert traag,"Het openen en opslaan van bestanden op de afdelingsschijf duurt sinds deze week erg lang, soms een minuut voor een Word-bestand. Ik kan er wel gewoon bij, dus het is geen rechtenprobleem. Lokaal opgeslagen bestanden openen direct. Meerdere collega's op dezelfde locatie ervaren hetzelfde.

Met vriendelijke groeten,
Els Willems
Boekhouder
Financiën | Kortrijk

-- 
Dit bericht en eventuele bijlagen zijn vertrouwelijk en uitsluitend bestemd voor de geadresseerde. Indien u dit bericht per vergissing heeft ontvangen, gelieve de afzender te verwittigen en het bericht te verwijderen. Denk aan het milieu voor u dit bericht afdrukt.","SMB latency boven drempelwaarde, retransmissies gedetecteerd.",
INC-4318,03/08/2026 11:26,e-mail,Appsupport,normaal,Gent,CRM-rapport telt omzet dubbel,"In het maandrapport in het CRM staan de bedragen van klanten met meerdere contactpersonen twee keer geteld. De onderliggende records kloppen wel, dus het lijkt in de rapportdefinitie te zitten. Sinds de release van vorige week zien we dit. Kunnen jullie de logica van het rapport nakijken? Er is geen foutmelding.",,
